,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,year,month,day,hour,dayofweek,discomfort_index,peak,temp(difference),ideal,sticky,rainyday,temp_scaled,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,hw_0,hw_1,hw_2,hw_3,hw_4,hw_5,hw_6,hw_7,hw_8,hw_9,hw_10,hw_11,hw_12,hw_13,hw_14,hw_15,hw_16,hw_17,hw_18,hw_19,hw_20,hw_21,hw_22,hw_23
0,2011-01-01 00:00:00,spring,0,0,1,9.84,14.395,81,17.191688136645883,3,13,16,0,1,1,0,Saturday,50.58,0,-4.56,0,0,0,0.22448979591836735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2011-01-01 01:00:00,spring,0,0,1,9.02,13.635,80,17.191688136645883,8,32,40,0,1,1,1,Saturday,49.31,0,-4.62,0,0,0,0.20408163265306123,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2011-01-01 02:00:00,spring,0,0,1,9.02,13.635,80,17.191688136645883,5,27,32,0,1,1,2,Saturday,49.31,0,-4.62,0,0,0,0.20408163265306123,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011-01-01 03:00:00,spring,0,0,1,9.84,14.395,75,17.191688136645883,3,10,13,0,1,1,3,Saturday,50.85,0,-4.56,0,0,0,0.22448979591836735,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2011-01-01 04:00:00,spring,0,0,1,9.84,14.395,75,17.191688136645883,0,1,1,0,1,1,4,Saturday,50.85,0,-4.56,0,0,0,0.22448979591836735,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-01-01 05:00:00,spring,0,0,2,9.84,12.88,75,6.0032,0,1,1,0,1,1,5,Saturday,50.85,0,-3.04,0,0,0,0.22448979591836735,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2011-01-01 06:00:00,spring,0,0,1,9.02,13.635,80,17.191688136645883,2,0,2,0,1,1,6,Saturday,49.31,0,-4.62,0,0,0,0.20408163265306123,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-01-01 07:00:00,spring,0,0,1,8.2,12.88,86,17.191688136645883,1,2,3,0,1,1,7,Saturday,47.63,0,-4.68,0,0,0,0.18367346938775508,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011-01-01 08:00:00,spring,0,0,1,9.84,14.395,75,17.191688136645883,1,7,8,0,1,1,8,Saturday,50.85,0,-4.56,0,0,0,0.22448979591836735,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2011-01-01 09:00:00,spring,0,0,1,13.12,17.425,76,17.191688136645883,8,6,14,0,1,1,9,Saturday,55.93,0,-4.31,0,0,0,0.3061224489795918,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
