,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,year,month,day,hour,dayofweek,discomfort_index,peak,temp(difference),ideal,sticky,rainyday,temp_scaled,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,hw_0,hw_1,hw_2,hw_3,hw_4,hw_5,hw_6,hw_7,hw_8,hw_9,hw_10,hw_11,hw_12,hw_13,hw_14,hw_15,hw_16,hw_17,hw_18,hw_19,hw_20,hw_21,hw_22,hw_23
0,2011-01-20 00:00:00,spring,0,1,1,10.66,11.365,56,26.0027,0,1,20,0,Thursday,52.84,0,-0.7,0,0,0,0.24999999999999997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2011-01-20 01:00:00,spring,0,1,1,10.66,13.635,56,16.320835148514842,0,1,20,1,Thursday,52.84,0,-2.97,0,0,0,0.24999999999999997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2011-01-20 02:00:00,spring,0,1,1,10.66,13.635,56,16.320835148514842,0,1,20,2,Thursday,52.84,0,-2.97,0,0,0,0.24999999999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011-01-20 03:00:00,spring,0,1,1,10.66,12.88,56,11.0014,0,1,20,3,Thursday,52.84,0,-2.22,0,0,0,0.24999999999999997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2011-01-20 04:00:00,spring,0,1,1,10.66,12.88,56,11.0014,0,1,20,4,Thursday,52.84,0,-2.22,0,0,0,0.24999999999999997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-01-20 05:00:00,spring,0,1,1,9.84,11.365,60,15.0013,0,1,20,5,Thursday,51.54,0,-1.53,0,0,0,0.22916666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2011-01-20 06:00:00,spring,0,1,1,9.02,10.605,60,15.0013,0,1,20,6,Thursday,50.38,0,-1.59,0,0,0,0.20833333333333331,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-01-20 07:00:00,spring,0,1,1,9.02,10.605,55,15.0013,0,1,20,7,Thursday,50.65,0,-1.59,0,0,0,0.20833333333333331,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011-01-20 08:00:00,spring,0,1,1,9.02,10.605,55,19.0012,0,1,20,8,Thursday,50.65,1,-1.59,0,0,0,0.20833333333333331,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2011-01-20 09:00:00,spring,0,1,2,9.84,11.365,52,15.0013,0,1,20,9,Thursday,51.9,0,-1.53,0,0,0,0.22916666666666666,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011-01-20 10:00:00,spring,0,1,1,10.66,11.365,48,19.9995,0,1,20,10,Thursday,53.14,0,-0.7,0,0,0,0.24999999999999997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2011-01-20 11:00:00,spring,0,1,2,11.48,13.635,45,11.0014,0,1,20,11,Thursday,54.28,0,-2.15,0,0,0,0.27083333333333337,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,2011-01-20 12:00:00,spring,0,1,2,12.3,16.665,42,14.384648946135837,0,1,20,12,Thursday,55.37,1,-4.36,0,0,0,0.2916666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2011-01-20 13:00:00,spring,0,1,2,11.48,14.395,45,7.0015,0,1,20,13,Thursday,54.28,1,-2.91,0,0,0,0.27083333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,2011-01-20 14:00:00,spring,0,1,2,12.3,15.15,45,8.9981,0,1,20,14,Thursday,55.31,0,-2.85,0,0,0,0.2916666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,2011-01-20 15:00:00,spring,0,1,2,13.12,15.91,45,12.998,0,1,20,15,Thursday,56.34,0,-2.79,0,0,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,2011-01-20 16:00:00,spring,0,1,2,12.3,15.15,49,8.9981,0,1,20,16,Thursday,55.22,0,-2.85,0,0,0,0.2916666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,2011-01-20 17:00:00,spring,0,1,2,12.3,15.91,49,7.0015,0,1,20,17,Thursday,55.22,1,-3.61,0,0,0,0.2916666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,2011-01-20 18:00:00,spring,0,1,2,10.66,12.88,56,12.998,0,1,20,18,Thursday,52.84,1,-2.22,0,0,0,0.24999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,2011-01-20 19:00:00,spring,0,1,1,10.66,11.365,56,22.0028,0,1,20,19,Thursday,52.84,0,-0.7,0,0,0,0.24999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,2011-01-20 20:00:00,spring,0,1,2,10.66,12.12,60,19.0012,0,1,20,20,Thursday,52.69,0,-1.46,0,0,0,0.24999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,2011-01-20 21:00:00,spring,0,1,2,9.84,11.365,60,16.9979,0,1,20,21,Thursday,51.54,0,-1.53,0,0,0,0.22916666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,2011-01-20 22:00:00,spring,0,1,2,9.84,10.605,65,19.0012,0,1,20,22,Thursday,51.31,0,-0.77,0,0,0,0.22916666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,2011-01-20 23:00:00,spring,0,1,2,9.84,10.605,65,22.0028,0,1,20,23,Thursday,51.31,0,-0.77,0,0,0,0.22916666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,2011-01-21 00:00:00,spring,0,1,2,9.84,11.365,70,16.9979,0,1,21,0,Friday,51.08,0,-1.53,0,0,0,0.22916666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2011-01-21 01:00:00,spring,0,1,2,9.84,11.365,70,16.9979,0,1,21,1,Friday,51.08,0,-1.53,0,0,0,0.22916666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2011-01-21 02:00:00,spring,0,1,3,9.84,12.12,75,11.0014,0,1,21,2,Friday,50.85,0,-2.28,0,0,1,0.22916666666666666,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2011-01-21 03:00:00,spring,0,1,3,9.02,10.605,80,19.9995,0,1,21,3,Friday,49.31,0,-1.59,0,0,1,0.20833333333333331,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2011-01-21 04:00:00,spring,0,1,2,9.02,12.88,87,6.0032,0,1,21,4,Friday,48.93,0,-3.86,0,0,0,0.20833333333333331,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
